Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,0,200,70,2,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 21,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,6,0,190,26,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 43,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,0,20,24,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 44,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,150,33,1,GRIESBACH,6666500.0,90,53.61346820073056,-113.5157507,Edmonton North Stake 13,3
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,1,0,18,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 45,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,3,16,16,2,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 46,2
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,3,250,39,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 47,2
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,0,152,23,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 14,3
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,0,200,25,1,LEE RIDGE,28618500.0,120,53.47232073,-113.4502878,Gateway Stake 54,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,1,174,32,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 55,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,177,22,1,BLACKMUD CREEK,503500.0,30,53.42374423,-113.5051636,Gateway Stake 56,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,2,210,24,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 22,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,2,120,40,2,RIO VISTA,8015783.871,90,53.44895453413155,-113.4371288,Gateway Stake 57,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,1,40,40,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 23,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,3,219,28,2,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 58,1
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,0,200,22,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 48,2
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,4,125,33,1,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 59,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,6,4,250,30,2,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 60,1
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,3,0,200,33,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 49,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,4,0,500,32,2,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 15,3
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,96,7,1,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 50,2
Bonnie Doon Stake Centre,Londonderry Ward,Bonnie Doon Stake,2,0,104,13,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 51,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,3,2,123,38,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 61,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,1,0,135,17,1,RIO VISTA,8015783.871,30,53.44895453413155,-113.4371288,Gateway Stake 62,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,2,168,20,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 63,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,0,143,20,1,SOUTHGATE,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 52,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,4,200,20,2,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 64,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,2,17,17,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 53,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,110,50,1,CRAWFORD PLAINS,140000.0,30,53.44341912235957,-113.4026104,Gateway Stake 65,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,3,0,192,11,2,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 54,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,1,0,1,1,1,GRIESBACH,6666500.0,30,53.61346820073056,-113.5157507,Edmonton North Stake 16,3
